year,round,circuit_ref,circuit_type,driver_code,constructor_ref,grid_position,finish_position,is_dnf,pos_gain,points_scored,laps_completed,status_finished,pace_delta_ms,avg_fast_corner_kmh,avg_medium_corner_kmh,avg_slow_corner_kmh,avg_speed_kmh,full_throttle_pct,min_speed_kmh,top_speed_kmh,avg_lap_ms,min_lap_ms,std_lap_ms,total_valid_laps,avg_tyre_life,max_tyre_life,personal_bests,soft_pct,medium_pct,hard_pct,lap_consistency,pb_rate,s1_best_ms,s2_best_ms,s3_best_ms,total_best_ms,s1_delta_ms,s2_delta_ms,s3_delta_ms,total_sector_delta_ms,ct_desert,ct_high_speed,ct_mixed,ct_street,lap_time_delta_pct,best_lap_delta_pct,grid_position_pct,top3_finish
2022,1,bahrain,desert,ALB,williams,0,13,0,,0.0,57,1,6.868269423558901,,,,,,,,103640.63157894737,97355.0,8808.554795991506,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0849913268743607,0.0,29564.0,39785.0,23203.0,92552.0,205.5,465.0,189.0,878.5,1,0,0,0,0.5539430656009943,0.5271337040306884,-0.05263157894736842,0
2022,1,bahrain,desert,RIC,mclaren,0,14,0,,0.0,57,1,8.45707049682396,,,,,,,,103658.9298245614,97261.0,8986.281651693258,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08669085882810271,0.0,29763.0,39862.0,23320.0,92945.0,404.5,542.0,306.0,1271.5,1,0,0,0,0.5716963417017101,0.4300708868340484,-0.05263157894736842,0
2022,1,bahrain,desert,NOR,mclaren,0,15,0,,0.0,57,1,8.45707049682396,,,,,,,,103682.78947368421,96988.0,8499.685344463474,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08197778423603065,0.0,29544.0,39355.0,23093.0,91992.0,185.5,35.0,79.0,318.5,1,0,0,0,0.5948453881992954,0.14817568369912593,-0.05263157894736842,0
2022,1,bahrain,desert,LAT,williams,0,16,0,,0.0,57,1,6.868269423558901,,,,,,,,103778.57894736843,98251.0,7986.588110136734,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07695796368716085,0.0,29810.0,40370.0,23300.0,93480.0,451.5,1050.0,286.0,1806.5,1,0,0,0,0.6877820013440079,1.4523282168837672,-0.05263157894736842,0
2022,1,bahrain,desert,HUL,aston_martin,0,17,0,,0.0,57,1,7.016351795874827,,,,,,,,103814.26315789473,98201.0,8502.87372540752,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08190467732237527,0.0,29833.0,39760.0,23184.0,92777.0,474.5,440.0,170.0,1103.5,1,0,0,0,0.7224034429440602,1.400699058800448,-0.05263157894736842,0
2022,1,bahrain,desert,PER,red_bull,0,18,0,,0.0,56,1,7.252158761961735,,,,,,,,102955.80357142857,96089.0,11754.098233722012,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11416644643608911,0.0,29152.0,38894.0,22746.0,90792.0,-206.5,-426.0,-268.0,-881.5,1,0,0,0,-0.11048897643379484,-0.7801165786389521,-0.05263157894736842,0
2022,1,bahrain,desert,VER,red_bull,0,19,0,,0.0,54,1,7.252158761961735,,,,,,,,103661.03703703704,95440.0,13620.10339772206,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13139076925166912,0.0,28970.0,38832.0,22761.0,90563.0,-388.5,-488.0,-253.0,-1110.5,1,0,0,0,0.5737407958899347,-1.4502630505604346,-0.05263157894736842,0
2022,1,bahrain,desert,GAS,alphatauri,0,20,0,,0.0,44,1,5.347468893334343,,,,,,,,100781.02272727272,97324.0,4704.3393797080025,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04667882159162634,0.0,29253.0,39335.0,23018.0,91606.0,-105.5,15.0,4.0,-67.5,1,0,0,0,-2.2204991708123063,0.49512362601903054,-0.05263157894736842,0
2022,2,jeddah,desert,VER,red_bull,0,1,0,,25.0,50,1,5.244009671052641,,,,,,,,101185.86,91772.0,20163.836365632407,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19927523831523897,0.0,,,,,,,,,1,0,0,0,-1.2420065119111696,-1.622438642661507,-0.05263157894736842,1
2022,2,jeddah,desert,LEC,ferrari,0,2,0,,19.0,50,1,5.955181966236356,,,,,,,,101196.84,91634.0,20431.39395522169,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20189754892763145,0.0,,,,,,,,,1,0,0,0,-1.231289967440442,-1.7703716011598802,-0.05263157894736842,1
2022,2,jeddah,desert,SAI,ferrari,0,3,0,,15.0,50,1,5.955181966236356,,,,,,,,101347.8,91905.0,19822.43354157617,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19558819768733185,0.0,,,,,,,,,1,0,0,0,-1.0839521210559517,-1.4798655739637991,-0.05263157894736842,1
2022,2,jeddah,desert,PER,red_bull,0,4,0,,12.0,50,1,5.244009671052641,,,,,,,,101401.86,92042.0,18965.2594251076,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1870306858780263,0.0,,,,,,,,,1,0,0,0,-1.0311892436344834,-1.3330045934255592,-0.05263157894736842,0
2022,2,jeddah,desert,RUS,mercedes,0,5,0,,10.0,50,1,6.555617460021749,,,,,,,,101840.5,92821.0,18409.950838819615,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18077239250415714,0.0,,,,,,,,,1,0,0,0,-0.6030740280933473,-0.49793376248184334,-0.05263157894736842,0
2022,2,jeddah,desert,OCO,alpine,0,6,0,,8.0,50,1,6.582649742002061,,,,,,,,102306.2,93103.0,16713.703763983736,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1633694122544258,0.0,,,,,,,,,1,0,0,0,-0.14854809366532865,-0.195635977724298,-0.05263157894736842,0
2022,2,jeddah,desert,NOR,mclaren,0,7,0,,6.0,50,1,7.61970496534821,,,,,,,,102308.34,92753.0,16333.176534231403,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15964657948933003,0.0,,,,,,,,,1,0,0,0,-0.1464594410999954,-0.5708282637708968,-0.05263157894736842,0
