feature,importance,source
total_q_ms,0.29502858183150066,qualifying
q1_ms,0.270803735061476,qualifying
q2_ms,0.19667484340681052,qualifying
q3_ms,0.1424171109622036,qualifying
round,0.06647979635296135,qualifying
year,0.028595932385048005,qualifying
s1_best_ms,0.26440205879543416,sector
s3_best_ms,0.2436851932981023,sector
s2_best_ms,0.23419139824046323,sector
total_best_ms,0.22631379967477602,sector
year,0.03140754999122417,sector
