variant,kendall_tau,brier,ece,rps,delta_tau,delta_brier
global_only,0.43696714153011235,0.16661735698828817,0.022476885381006926,0.17023029856408026,-0.014032858469887666,0.002617356988288161
current_blend,0.4486584662527667,0.1616586304305082,0.030792128155073914,0.15967434729152907,-0.0023415337472333375,-0.002341369569491797
conservative_blend,0.44030525614065047,0.17142560043585967,0.010365823071875377,0.14834270246429743,-0.010694743859349543,0.007425600435859658
