constructor,state_variable,mean_z_score,std_z_score,pct_unstable,sign_stability_pct,classification
red_bull,base_intercept,2.5230124544726884,1.0747083782711802,69.11764705882352,100.0,weak
red_bull,top_speed_coef,1.8485117608716672,1.2450361939976886,43.39622641509434,96.15384615384616,weak
red_bull,continuous_pct_coef,1.8237112163355342,1.108525388628656,50.81967213114754,93.33333333333333,weak
red_bull,throttle_pct_coef,1.6067935470845887,1.0310418686104654,40.54054054054054,94.44444444444444,weak
red_bull,street_circuit_coef,0.6764464286227138,0.9687473899953832,10.0,58.62068965517241,weak
red_bull,desert_circuit_coef,1.2109472716905068,1.2367261350014658,26.666666666666668,82.75862068965517,weak
red_bull,hybrid_circuit_coef,0.8870785394252179,0.8700580300369478,9.722222222222223,71.83098591549296,weak
red_bull,temp_circuit_coef,0.9529862146202093,1.1708860793002112,22.448979591836736,75.0,weak
ferrari,base_intercept,2.698876363884556,1.357227737434391,70.0,96.61016949152543,weak
ferrari,top_speed_coef,1.6408762274594018,1.2330813432342576,35.2112676056338,90.0,weak
ferrari,continuous_pct_coef,1.941265257417011,1.3499894636820842,50.0,81.33333333333333,weak
ferrari,throttle_pct_coef,1.1729955946215624,1.224675326829986,21.428571428571427,70.9090909090909,weak
ferrari,street_circuit_coef,0.9301368938475992,1.2933859352967316,22.413793103448278,68.42105263157895,weak
ferrari,desert_circuit_coef,0.6873004389453456,1.2451070651139013,17.391304347826086,53.333333333333336,weak
ferrari,hybrid_circuit_coef,0.8981921416132839,1.0980021561868172,18.421052631578945,59.45945945945946,weak
ferrari,temp_circuit_coef,0.7559769489044615,1.0579911758129663,11.363636363636363,72.09302325581396,weak
mercedes,base_intercept,2.963331730175017,1.0870321512677423,76.92307692307693,100.0,weak
mercedes,top_speed_coef,2.009519923291193,0.9612899114554695,45.65217391304348,100.0,weak
mercedes,continuous_pct_coef,1.9691343559406325,1.0314930786370407,46.57534246575342,97.22222222222223,weak
mercedes,throttle_pct_coef,1.226363065470262,1.281940536590551,31.147540983606557,60.0,weak
mercedes,street_circuit_coef,1.1208209318270206,1.1946448407239996,24.489795918367346,68.75,weak
mercedes,desert_circuit_coef,0.9048419922391817,1.4350640163694692,31.428571428571427,55.88235294117647,weak
mercedes,hybrid_circuit_coef,0.8617358266184801,1.0686847702706335,18.181818181818183,68.75,weak
mercedes,temp_circuit_coef,0.6583599769758691,1.250679367317173,15.789473684210526,54.05405405405405,weak
mclaren,base_intercept,2.4352736806631765,1.1506690722576296,67.21311475409836,96.66666666666667,weak
mclaren,top_speed_coef,1.602299423764005,1.10938721073204,36.84210526315789,78.37837837837839,weak
mclaren,continuous_pct_coef,1.7270998031507157,1.2957377924297375,33.33333333333333,81.25,weak
mclaren,throttle_pct_coef,1.5107375866092758,1.1994321404830504,36.206896551724135,82.45614035087719,weak
mclaren,street_circuit_coef,0.9138451045281342,1.1940370268749414,20.3125,68.25396825396825,weak
mclaren,desert_circuit_coef,1.0268710451557839,1.3598035665014634,27.77777777777778,65.71428571428572,weak
mclaren,hybrid_circuit_coef,0.5898205396230488,1.228907077146056,15.384615384615385,60.526315789473685,weak
mclaren,temp_circuit_coef,0.9166716923198879,1.1245547273775687,19.696969696969695,66.15384615384616,weak
aston_martin,base_intercept,2.5464993967689624,1.0237114284495326,66.66666666666666,100.0,weak
aston_martin,top_speed_coef,2.0119327640113145,0.9905197537897398,53.125,96.82539682539682,weak
aston_martin,continuous_pct_coef,1.6062785380463778,1.26260211819743,37.5,79.36507936507937,weak
aston_martin,throttle_pct_coef,1.1790384804478418,1.3082149124042188,34.0,75.51020408163265,weak
aston_martin,street_circuit_coef,0.8834201201330165,1.1204393554584229,18.64406779661017,70.6896551724138,weak
aston_martin,desert_circuit_coef,0.7397142025483727,1.2019430491956986,12.5,64.51612903225806,weak
aston_martin,hybrid_circuit_coef,1.0066969932627672,1.2803918458604893,24.59016393442623,65.0,weak
aston_martin,temp_circuit_coef,0.7602984616280217,1.0583092575953439,12.068965517241379,63.15789473684211,weak
alpine,base_intercept,2.261906915285962,1.379295286336978,68.75,87.23404255319149,weak
alpine,top_speed_coef,2.0148777846781165,1.1831685842315318,56.57894736842105,88.0,weak
alpine,continuous_pct_coef,1.8048052078590073,1.2068795108218715,45.20547945205479,86.11111111111111,weak
alpine,throttle_pct_coef,1.176526793378581,1.2189563776560748,35.38461538461539,68.75,weak
alpine,street_circuit_coef,0.8478788558830663,1.2721408476345126,24.242424242424242,62.5,weak
alpine,desert_circuit_coef,0.7254178505076612,1.0383179193840555,15.714285714285714,60.869565217391305,weak
alpine,hybrid_circuit_coef,0.7075633807700638,1.352754361153499,29.545454545454547,53.48837209302326,weak
alpine,temp_circuit_coef,0.6685229995108263,1.2078337958294192,18.055555555555554,52.11267605633803,weak
alpha_tauri,base_intercept,2.887860260330709,1.1943034629534328,88.09523809523809,97.5609756097561,weak
alpha_tauri,top_speed_coef,1.7750090580687135,1.2982697892364965,47.72727272727273,90.69767441860465,weak
