year,round,circuit_ref,circuit_type,driver_code,constructor_ref,grid_position,finish_position,is_dnf,points_scored,laps_completed,status_finished,pace_delta_ms,avg_fast_corner_kmh,avg_medium_corner_kmh,avg_slow_corner_kmh,avg_speed_kmh,full_throttle_pct,min_speed_kmh,top_speed_kmh,avg_lap_ms,min_lap_ms,std_lap_ms,total_valid_laps,avg_tyre_life,max_tyre_life,personal_bests,soft_pct,medium_pct,hard_pct,lap_consistency,pb_rate,s1_best_ms,s2_best_ms,s3_best_ms,total_best_ms,s1_delta_ms,s2_delta_ms,s3_delta_ms,total_sector_delta_ms,ct_desert,ct_high_speed,ct_mixed,ct_street,lap_time_delta_pct,best_lap_delta_pct,grid_position_pct,top3_finish
2022,1,bahrain,desert,STR,aston_martin,0,12,0,0.0,57,1,7.016351795874827,255.0,155.0,75.0,215.0,60.0,60.0,330.0,103499.24561403508,97146.0,9787.733674059116,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0945681643957011,0.0,29906.0,39844.0,23282.0,93032.0,547.5,524.0,268.0,1358.5,1,0,0,0,0.4167679437450856,0.3113238232424143,-0.0526315789473684,0
2022,1,bahrain,desert,ALB,williams,0,13,0,0.0,57,1,6.868269423558901,255.0,155.0,75.0,215.0,60.0,60.0,330.0,103640.63157894736,97355.0,8808.554795991506,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0849913268743607,0.0,29564.0,39785.0,23203.0,92552.0,205.5,465.0,189.0,878.5,1,0,0,0,0.5539430656009943,0.5271337040306884,-0.0526315789473684,0
2022,1,bahrain,desert,RIC,mclaren,0,14,0,0.0,57,1,8.45707049682396,255.0,155.0,75.0,215.0,60.0,60.0,330.0,103658.9298245614,97261.0,8986.281651693258,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866908588281027,0.0,29763.0,39862.0,23320.0,92945.0,404.5,542.0,306.0,1271.5,1,0,0,0,0.5716963417017101,0.4300708868340484,-0.0526315789473684,0
2022,1,bahrain,desert,NOR,mclaren,0,15,0,0.0,57,1,8.45707049682396,255.0,155.0,75.0,215.0,60.0,60.0,330.0,103682.7894736842,96988.0,8499.685344463474,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0819777842360306,0.0,29544.0,39355.0,23093.0,91992.0,185.5,35.0,79.0,318.5,1,0,0,0,0.5948453881992954,0.1481756836991259,-0.0526315789473684,0
2022,1,bahrain,desert,LAT,williams,0,16,0,0.0,57,1,6.868269423558901,255.0,155.0,75.0,215.0,60.0,60.0,330.0,103778.57894736844,98251.0,7986.588110136734,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769579636871608,0.0,29810.0,40370.0,23300.0,93480.0,451.5,1050.0,286.0,1806.5,1,0,0,0,0.6877820013440079,1.4523282168837672,-0.0526315789473684,0
2022,1,bahrain,desert,HUL,aston_martin,0,17,0,0.0,57,1,7.016351795874827,255.0,155.0,75.0,215.0,60.0,60.0,330.0,103814.26315789472,98201.0,8502.87372540752,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0819046773223752,0.0,29833.0,39760.0,23184.0,92777.0,474.5,440.0,170.0,1103.5,1,0,0,0,0.7224034429440602,1.400699058800448,-0.0526315789473684,0
2022,1,bahrain,desert,PER,red_bull,0,18,0,0.0,56,1,7.252158761961735,255.0,155.0,75.0,215.0,60.0,60.0,330.0,102955.80357142857,96089.0,11754.098233722012,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1141664464360891,0.0,29152.0,38894.0,22746.0,90792.0,-206.5,-426.0,-268.0,-881.5,1,0,0,0,-0.1104889764337948,-0.7801165786389521,-0.0526315789473684,0
2022,1,bahrain,desert,VER,red_bull,0,19,0,0.0,54,1,7.252158761961735,255.0,155.0,75.0,215.0,60.0,60.0,330.0,103661.03703703704,95440.0,13620.10339772206,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1313907692516691,0.0,28970.0,38832.0,22761.0,90563.0,-388.5,-488.0,-253.0,-1110.5,1,0,0,0,0.5737407958899347,-1.4502630505604346,-0.0526315789473684,0
2022,1,bahrain,desert,GAS,alphatauri,0,20,0,0.0,44,1,5.347468893334343,255.0,155.0,75.0,215.0,60.0,60.0,330.0,100781.02272727272,97324.0,4704.3393797080025,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466788215916263,0.0,29253.0,39335.0,23018.0,91606.0,-105.5,15.0,4.0,-67.5,1,0,0,0,-2.2204991708123063,0.4951236260190305,-0.0526315789473684,0
2022,2,jeddah,desert,VER,red_bull,0,1,0,25.0,50,1,5.244009671052641,290.0,165.0,70.0,235.0,72.0,55.0,350.0,101185.86,91772.0,20163.836365632407,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1992752383152389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,-1.2420065119111696,-1.622438642661507,-0.0526315789473684,1
