rank,feature,composite_score,spearman_norm,mi_norm,rf_mdi_norm,perm_norm,gb_norm,coverage_pct
1,lap_time_delta_pct,0.974,1.0,1.0,1.0,1.0,1.0,97.4
2,best_lap_delta_pct,0.3118,0.8551,0.4197,0.1469,0.1891,0.1594,97.4
3,total_sector_delta_ms,0.1963,0.7543,0.3918,0.0256,0.0229,0.036,93.9
4,s2_delta_ms,0.1772,0.7312,0.3611,0.0105,0.0083,0.013,94.0
5,s3_delta_ms,0.1571,0.7081,0.2609,0.0126,0.0129,0.016,94.0
6,s1_delta_ms,0.1465,0.6945,0.2408,0.0057,0.0042,0.0082,93.9
7,pace_delta_ms,0.1076,0.3851,0.1943,0.0155,0.0159,0.0214,99.9
8,total_valid_laps,0.1,0.3348,0.0691,0.0579,0.0543,0.0704,97.4
9,lap_consistency,0.0268,0.1027,0.0,0.0145,0.017,0.0289,96.9
10,avg_lap_ms,0.0218,0.1154,0.0,0.0049,0.0028,0.0211,97.4
11,min_lap_ms,0.0192,0.1139,0.0,0.0035,0.0026,0.0071,97.4
12,std_lap_ms,0.0188,0.0781,0.0,0.0096,0.0084,0.0214,96.9
13,total_best_ms,0.015,0.0909,0.0,0.0025,0.0018,0.0084,93.9
14,s2_best_ms,0.0143,0.0718,0.0,0.0063,0.0045,0.0118,94.0
15,s3_best_ms,0.0139,0.0525,0.0,0.009,0.0077,0.0185,94.0
16,s1_best_ms,0.0122,0.0567,0.0,0.0033,0.0021,0.0206,93.9
17,grid_position,0.0072,0.0,0.0362,0.0,0.0,0.0,100.0
18,medium_pct,0.0063,0.0,0.0324,0.0,0.0,0.0,97.4
19,grid_position_pct,0.004,0.0127,0.0105,0.0,0.0,0.0001,100.0
20,ct_mixed,0.0034,0.0015,0.0145,0.0005,0.0005,0.0004,100.0
21,hard_pct,0.0031,0.0,0.016,0.0,0.0,0.0,97.4
22,round,0.0025,0.002,0.0,0.0033,0.0026,0.0047,100.0
23,top_speed_kmh,0.0014,0.0021,0.0,0.0022,0.0021,0.002,83.8
24,year,0.0012,0.0017,0.0,0.0016,0.0013,0.0012,100.0
25,avg_tyre_life,0.0011,0.0,0.0057,0.0,0.0,0.0,97.4
26,avg_fast_corner_kmh,0.001,0.002,0.0,0.0013,0.001,0.0021,83.8
27,full_throttle_pct,0.0007,0.0004,0.0,0.0011,0.001,0.0018,83.8
28,ct_street,0.0007,0.0032,0.0,0.0003,0.0002,0.0003,100.0
29,avg_speed_kmh,0.0007,0.0007,0.0,0.001,0.0007,0.0022,83.8
30,avg_medium_corner_kmh,0.0006,0.0017,0.0,0.0008,0.0005,0.0009,83.8
31,ct_desert,0.0006,0.0005,0.0028,0.0,0.0,0.0,100.0
32,ct_high_speed,0.0005,0.0007,0.0,0.0004,0.0002,0.0015,100.0
33,min_speed_kmh,0.0005,0.0011,0.0,0.0007,0.0005,0.0008,83.8
34,avg_slow_corner_kmh,0.0004,0.0005,0.0,0.0008,0.0006,0.0007,83.8
35,max_tyre_life,0.0,0.0,0.0,0.0,0.0,0.0,97.4
36,pb_rate,0.0,0.0,0.0,0.0,0.0,0.0,97.4
37,personal_bests,0.0,0.0,0.0,0.0,0.0,0.0,97.4
38,soft_pct,0.0,0.0,0.0,0.0,0.0,0.0,97.4
